Measurand,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NRSTS0111_O_BA,738.1,-0.81,0.81,-1.62,1.62,-2.42,2.42
NRSTS0109_O_BA,3450.25,,,,,,
NRSTS0109_O_BA,619.54,-0.37,0.37,-0.74,0.74,-1.12,1.12
NRSTS0109_O_BA,747.9,-1.11,1.11,-2.22,2.22,-3.33,3.33
NRSTS0103_O_BA,3197.58,,,,,,
NRSTS0103_O_BA,634.18,-0.36,0.36,-0.72,0.72,-1.09,1.09
NRSTS0103_O_BA,784.91,-1.13,1.13,-2.26,2.26,-3.39,3.39
NLSTS0001_L_HA,414,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSTS0001_L_HA,-787.5,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSTS0001_L_HA,450,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSTS0065_O_BA,1001.53,,,,,,
NLSTS0065_O_BA,-595.45,-0.8,0.8,-1.6,1.6,-2.39,2.39
NLSTS0065_O_BA,1062.67,-0.8,0.8,-1.6,1.6,-2.4,2.4
NLSTS0069_O_BA,1237.07,,,,,,
NLSTS0069_O_BA,-569.75,-0.84,0.84,-1.68,1.68,-2.52,2.52
NLSTS0069_O_BA,1116.26,-0.84,0.84,-1.68,1.68,-2.52,2.52
NLSTS0073_O_BA,1524.39,,,,,,
NLSTS0073_O_BA,-555.88,-0.85,0.85,-1.7,1.7,-2.54,2.54
NLSTS0073_O_BA,1138.97,-0.85,0.85,-1.7,1.7,-2.54,2.54
NLSTS0076_O_BA,1622.55,,,,,,
NLSTS0076_O_BA,-552.98,-0.85,0.85,-1.7,1.7,-2.54,2.54
NLSTS0076_O_BA,1142,-0.85,0.85,-1.7,1.7,-2.54,2.54
NLSTS0080_O_BA,1957.52,-1,1,-2,2,-3,3
NLSTS0080_O_BA,-548.07,-0.85,0.85,-1.7,1.7,-2.54,2.54
NLSTS0080_O_BA,1138.28,-0.85,0.85,-1.7,1.7,-2.54,2.54
NLSTS0083_O_BA,2191.73,,,,,,
NLSTS0083_O_BA,-550.4,-0.84,0.84,-1.68,1.68,-2.53,2.53
NLSTS0083_O_BA,1117.42,-0.84,0.84,-1.68,1.68,-2.53,2.53
NLSTS0087_O_BA,2421.08,,,,,,
NLSTS0087_O_BA,-560.94,,,,,,
NLSTS0087_O_BA,1067.21,-0.82,0.82,-1.64,1.64,-2.47,2.47
NLSTS0002_L_HA,3059.23,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSTS0002_L_HA,-797.98,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSTS0002_L_HA,302.71,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSTS0078_ORAA,1621.69,,,,,,
NLSTS0078_ORAA,-508.29,-0.31,0.31,-0.62,0.62,-0.93,0.93
NLSTS0078_ORAA,1129.1,-1.16,1.16,-2.32,2.32,-3.48,3.48
NLSTS0081_ORAA,1956.8,,,0,0,,
NLSTS0081_ORAA,-503.42,-0.31,0.31,-0.62,0.62,-0.93,0.93
NLSTS0081_ORAA,1125.49,-1.16,1.16,-2.32,2.32,-3.47,3.47
NLSTS0091_O_AA,2460.06,-0.36,0.36,-0.72,0.72,-1.07,1.07
NLSTS0091_O_AA,-519.36,,,,,,
NLSTS0091_O_AA,1048.94,-1.13,1.13,-2.26,2.26,-3.39,3.39
NLSTS0245_L_BA,1981.66,,,,,,
NLSTS0245_L_BA,-846.25,-1.13,1.13,-2.26,2.26,-3.39,3.39
NLSTS0245_L_BA,0.71,-0.4,0.4,-0.8,0.8,-1.21,1.21
NLSTS0246_O_BA,1981.06,,,,,,
NLSTS0246_O_BA,-837.8,,,,,,
NLSTS0246_O_BA,14.09,-1.18,1.18,-2.36,2.36,-3.54,3.54
NLSTS0258_L_BA,1330.3,,,,,,
NLSTS0258_L_BA,-858.62,-1.12,1.12,-2.24,2.24,-3.37,3.37
NLSTS0258_L_BA,-9.99,-0.42,0.42,-0.84,0.84,-1.26,1.26
NLSTS0259_O_BA,1329.97,,,,,,
NLSTS0259_O_BA,-850.23,,,,,,
NLSTS0259_O_BA,3.38,-1.18,1.18,-2.36,2.36,-3.54,3.54
NLSTS0262_L_BA,505.67,,,,,,
NLSTS0262_L_BA,-861.8,-1.13,1.13,-2.26,2.26,-3.4,3.4
NLSTS0262_L_BA,-25.4,-0.4,0.4,-0.8,0.8,-1.19,1.19
NLSTS0263_O_BA,505.44,,,,,,
NLSTS0263_O_BA,-853.35,,,,,,
NLSTS0263_O_BA,-12.01,-1.18,1.18,-2.36,2.36,-3.54,3.54
NRSTS0063_O_AA,969.7,-0.44,0.44,-0.88,0.88,-1.31,1.31
NRSTS0063_O_AA,553.19,,,,,,
NRSTS0063_O_AA,1040.85,-1.11,1.11,-2.22,2.22,-3.32,3.32
NRSTS0067_ORAA,998.13,-0.37,0.37,-0.74,0.74,-1.11,1.11
NRSTS0067_ORAA,550.16,,,,,,
NRSTS0067_ORAA,1051.86,-1.13,1.13,-2.26,2.26,-3.39,3.39
NRSTS0071_ORAA,1235.72,,,,,,
NRSTS0071_ORAA,525.03,,,,,,
NRSTS0071_ORAA,1103.17,-1.15,1.15,-2.3,2.3,-3.46,3.46
NRSTS0074_ORAA,1523.45,,,,,,
NRSTS0074_ORAA,511.17,-0.31,0.31,-0.62,0.62,-0.93,0.93
NRSTS0074_ORAA,1126.03,-1.16,1.16,-2.32,2.32,-3.48,3.48
NRSTS0078_ORAA,1621.69,,,,,,
NRSTS0078_ORAA,508.29,-0.31,0.31,-0.62,0.62,-0.93,0.93
NRSTS0078_ORAA,1129.1,-1.16,1.16,-2.32,2.32,-3.48,3.48
NRSTS0081_ORAA,1956.8,,,,,,
NRSTS0081_ORAA,503.42,-0.31,0.31,-0.62,0.62,-0.93,0.93
